label,note,kind,n_strata,mae,bias,n_within_ci,n_15_49,mae_15_49,bias_15_49
"009
prior","50-draw prior, 6 par",ensemble,54,0.10731375843382868,-0.08493873475208676,11,6,0.11511788457034637,-0.11511788457034637
"014
prior","50-draw prior, 9 par",ensemble,54,0.23299941945210884,-0.23299941945210884,0,6,0.20210874084165034,-0.20210874084165034
"018
v1.1",fixed point,arm,54,0.0589865459826892,-0.04049087411028106,22,6,0.04509177744869699,-0.04395010839519947
"021
v1.2",fixed point,arm,54,0.05862418098311158,-0.03982092569906367,22,6,0.04435294347421708,-0.04313122603642924
"022
v1.3",fixed point,arm,54,0.05843987290120105,-0.03957634734936907,23,6,0.04421688492543655,-0.04298870271632085
"024
prior","1000-draw prior, 7 par",ensemble,54,0.05329533015856608,-0.04425473659569771,19,6,0.027973315086304944,-0.02722845812121862
"024
best",calibrated point,best,54,0.04045766250935587,-0.007018437257768807,26,6,0.01824656004509356,0.004371521451060821
