label,exp,kind,lfl,n_strata,mae,bias,n_within_ci,n_15_49,mae_15_49,bias_15_49
009 first coverage check,009_coverage_check,ensemble,False,54.0,0.10731375843382868,-0.08493873475208676,11.0,6,0.11511788457034637,-0.11511788457034637
014 prior expansion,014_prior_expansion,ensemble,False,54.0,0.23299941945210884,-0.23299941945210884,0.0,6,0.20210874084165034,-0.20210874084165034
016 HIV-deleted mortality,016_double_counted_mortality,arm,False,,,,,6,0.0493418099016256,-0.0493418099016256
017 stisim 1.5.11,017_version_bump,arm,False,,,,,6,0.04561874865904745,-0.044528401924805484
018 PrEP removed (model-v1.1),018_adopt_and_size,arm,True,54.0,0.0589865459826892,-0.04049087411028106,22.0,6,0.04509177744869699,-0.04395010839519947
019 arm A (adopted nothing),019_age_dependent_survival,arm,True,54.0,0.0589865459826892,-0.04049087411028106,22.0,6,0.04509177744869699,-0.04395010839519947
"020 N=20,000",020_model_sizing,arm,False,54.0,0.05788308438570363,-0.0389301317980515,20.0,6,0.042558064909102765,-0.04143266289974438
021 VLS input (model-v1.2),021_vls_input,arm,True,54.0,0.05862418098311158,-0.03982092569906367,22.0,6,0.04435294347421708,-0.04313122603642924
